"ENTREZID","SYMBOL"
"101927180","LOC101927180"
"9550","ATP6V1G1"
"127124","ATP6V1G3"
"534","ATP6V1G2"
"51606","ATP6V1H"
"10312","TCIRG1"
"23545","ATP6V0A2"
"50617","ATP6V0A4"
"535","ATP6V0A1"
"527","ATP6V0C"
"533","ATP6V0B"
"9114","ATP6V0D1"
"245972","ATP6V0D2"
"8992","ATP6V0E1"
"155066","ATP6V0E2"
"537","ATP6AP1"
"495","ATP4A"
"496","ATP4B"
"479","ATP12A"
"27068","PPA2"
"5464","PPA1"
"64077","LHPP"
"5009","OTC"
"445","ASS1"
"435","ASL"
"384","ARG2"
"383","ARG1"
"4842","NOS1"
"4843","NOS2"
"4846","NOS3"
"27165","GLS2"
"2744","GLS"
"2752","GLUL"
"790","CAD"
"1373","CPS1"
"2747","GLUD2"
"2746","GLUD1"
"2805","GOT1"
"137362","GOT1L1"
"2806","GOT2"
"84706","GPT2"
"2875","GPT"
"162417","NAGS"
"95","ACY1"
"100526760","ABHD14A-ACY1"
"53343","NUDT9"
"56985","ADPRM"
"11164","NUDT5"
"5471","PPAT"
"2618","GART"
"5198","PFAS"
"10606","PAICS"
"158","ADSL"
"471","ATIC"
"353","APRT"
"22978","NT5C2"
"84618","NT5C1A"
"93034","NT5C1B"
"30833","NT5C"
"56953","NT5M"
"100526794","NT5C1B-RDH14"
"284958","NT5DC4"
"4907","NT5E"
"4860","PNP"
"144811","LACC1"
"3251","HPRT1"
"3614","IMPDH1"
"3615","IMPDH2"
"10201","NME6"
"29922","NME7"
"4831","NME2"
"4833","NME4"
"4830","NME1"
"4832","NME3"
"654364","NME1-NME2"
"221264","AK9"
"956","ENTPD3"
"377841","ENTPD8"
"953","ENTPD1"
"124583","CANT1"
"9583","ENTPD4"
"957","ENTPD5"
"955","ENTPD6"
"131870","NUDT16"
"3704","ITPA"
"7498","XDH"
"318","NUDT2"
"8833","GMPS"
"2766","GMPR"
"51292","GMPR2"
"9615","GDA"
"2987","GUK1"
"6240","RRM1"
"50484","RRM2B"
"6241","RRM2"
"51020","HDDC2"
"1716","DGUOK"
"1633","DCK"
"374659","HDDC3"
"58497","PRUNE1"
"107","ADCY1"
"108","ADCY2"
"109","ADCY3"
"196883","ADCY4"
"111","ADCY5"
"112","ADCY6"
"113","ADCY7"
"114","ADCY8"
"115","ADCY9"
"55811","ADCY10"
"2977","GUCY1A2"
"2982","GUCY1A1"
"2983","GUCY1B1"
"2984","GUCY2C"
"3000","GUCY2D"
"2986","GUCY2F"
"4881","NPR1"
"4882","NPR2"
"5136","PDE1A"
"5153","PDE1B"
"5137","PDE1C"
"5138","PDE2A"
"5139","PDE3A"
"5140","PDE3B"
"8654","PDE5A"
"5145","PDE6A"
"5158","PDE6B"
"5146","PDE6C"
"5147","PDE6D"
"5148","PDE6G"
"5149","PDE6H"
"5152","PDE9A"
"10846","PDE10A"
"50940","PDE11A"
"122622","ADSS1"
"159","ADSS2"
"271","AMPD2"
"272","AMPD3"
"270","AMPD1"
"132","ADK"
"100","ADA"
"51816","ADA2"
"122481","AK7"
"205","AK4"
"26289","AK5"
"204","AK2"
"203","AK1"
"158067","AK8"
"102157402","AK6"
"50808","AK3"
"954","ENTPD2"
"84284","NTPCR"
"5167","ENPP1"
"5169","ENPP3"
"5141","PDE4A"
"5142","PDE4B"
"5143","PDE4C"
"5144","PDE4D"
"5150","PDE7A"
"27115","PDE7B"
"8622","PDE8B"
"5151","PDE8A"
"2272","FHIT"
"22875","ENPP4"
"9060","PAPSS2"
"9061","PAPSS1"
"646625","URAD"
"55821","ALLC"
"10","NAT2"
"9","NAT1"
"1548","CYP2A6"
"1549","CYP2A7"
"1723","DHODH"
"7372","UMPS"
"51727","CMPK1"
"129607","CMPK2"
"8623","ASMTL"
"1503","CTPS1"
"56474","CTPS2"
"83549","UCK1"
"7371","UCK2"
"54963","UCKL1"
"151531","UPP2"
"7378","UPP1"
"51251","NT5C3A"
"115024","NT5C3B"
"978","CDA"
"79077","DCTPP1"
"1635","DCTD"
"1841","DTYMK"
"1854","DUT"
"1890","TYMP"
"7084","TK2"
"7083","TK1"
"7298","TYMS"
"1806","DPYD"
"1807","DPYS"
"51733","UPB1"
"259307","IL4I1"
"8528","DDO"
"80150","ASRGL1"
"440","ASNS"
"56954","NIT2"
"189","AGXT"
"64902","AGXT2"
"339983","NAT8L"
"57494","RIMKLB"
"284716","RIMKLA"
"2346","FOLH1"
"443","ASPA"
"2571","GAD1"
"2572","GAD2"
"18","ABAT"
"7915","ALDH5A1"
"8659","ALDH4A1"
"9945","GFPT2"
"2673","GFPT1"
"6472","SHMT2"
"6470","SHMT1"
"9380","GRHPR"
"26227","PHGDH"
"29968","PSAT1"
"5723","PSPH"
"23464","GCAT"
"211","ALAS1"
"212","ALAS2"
"4129","MAOB"
"4128","MAOA"
"8639","AOC3"
"314","AOC2"
"2731","GLDC"
"275","AMT"
"2653","GCSH"
"124908081","LOC124908081"
"1610","DAO"
"2628","GATM"
"2593","GAMT"
"55349","CHDH"
"635","BHMT"
"29958","DMGDH"
"51268","PIPOX"
"1757","SARDH"
"27232","GNMT"
"875","CBS"
"102724560","LOC102724560"
"1491","CTH"
"10993","SDS"
"113675","SDSL"
"63826","SRR"
"56267","KYAT3"
"883","KYAT1"
"23743","BHMT2"
"4548","MTR"
"27430","MAT2B"
"4143","MAT1A"
"4144","MAT2A"
"262","AMD1"
"6723","SRM"
"6611","SMS"
"4507","MTAP"
"84245","MRI1"
"51074","APIP"
"58478","ENOPH1"
"55256","ADI1"
"1786","DNMT1"
"1788","DNMT3A"
"1789","DNMT3B"
"23382","AHCYL2"
"10768","AHCYL1"
"191","AHCY"
"587","BCAT2"
"586","BCAT1"
"2729","GCLC"
"2730","GCLM"
"2937","GSS"
"1036","CDO1"
"4357","MPST"
"7263","TST"
"593","BCKDHA"
"594","BCKDHB"
"1629","DBT"
"3712","IVD"
"27034","ACAD8"
"3028","HSD17B10"
"5095","PCCA"
"5096","PCCB"
"84693","MCEE"
"4594","MMUT"
"26275","HIBCH"
"11112","HIBADH"
"4329","ALDH6A1"
"316","AOX1"
"56922","MCCC1"
"64087","MCCC2"
"549","AUH"
"3155","HMGCL"
"54511","HMGCLL1"
"5019","OXCT1"
"64064","OXCT2"
"65985","AACS"
"3157","HMGCS1"
"3158","HMGCS2"
"10157","AASS"
"51166","AADAT"
"55526","DHTKD1"
"123688","HYKK"
"85007","PHYKPL"
"79823","CAMKMT"
"4297","KMT2A"
"8085","KMT2D"
"58508","KMT2C"
"9757","KMT2B"
"55904","KMT2E"
"23067","SETD1B"
"9739","SETD1A"
"80854","SETD7"
"56979","PRDM9"
"11105","PRDM7"
"55870","ASH1L"
"56950","SMYD2"
"64754","SMYD3"
"150572","SMYD1"
"6839","SUV39H1"
"79723","SUV39H2"
"10919","EHMT2"
"79813","EHMT1"
"9869","SETDB1"
"83852","SETDB2"
"7799","PRDM2"
"2145","EZH1"
"2146","EZH2"
"6419","SETMAR"
"64324","NSD1"
"7468","NSD2"
"54904","NSD3"
"29072","SETD2"
"84444","DOT1L"
"387893","KMT5A"
"93166","PRDM6"
"84787","KMT5C"
"51111","KMT5B"
"2122","MECOM"
"63976","PRDM16"
"55217","TMLHE"
"8424","BBOX1"
"5351","PLOD1"
"5352","PLOD2"
"8985","PLOD3"
"79709","COLGALT1"
"23127","COLGALT2"
"548596","CKMT1A"
"1160","CKMT2"
"1152","CKB"
"1159","CKMT1B"
"1158","CKM"
"113451","AZIN2"
"4953","ODC1"
"26","AOC1"
"54498","SMOX"
"84735","CNDP1"
"55748","CNDP2"
"57571","CARNS1"
"112483","SAT2"
"6303","SAT1"
"79814","AGMAT"
"4942","OAT"
"65263","PYCR3"
"29920","PYCR2"
"5831","PYCR1"
"5625","PRODH"
"5832","ALDH18A1"
"51056","LAP3"
"8974","P4HA2"
"283208","P4HA3"
"5033","P4HA1"
"58510","PRODH2"
"112817","HOGA1"
"112849","L3HYPDH"
"3034","HAL"
"131669","UROC1"
"144193","AMDHD1"
"10841","FTCD"
"3067","HDC"
"3176","HNMT"
"138199","CARNMT1"
"3081","HGD"
"2954","GSTZ1"
"2184","FAH"
"7299","TYR"
"7054","TH"
"1638","DCT"
"7306","TYRP1"
"1644","DDC"
"1621","DBH"
"5409","PNMT"
"7173","TPO"
"81889","FAHD1"
"4282","MIF"
"5053","PAH"
"6999","TDO2"
"3620","IDO1"
"169355","IDO2"
"125061","AFMID"
"8564","KMO"
"8942","KYNU"
"23498","HAAO"
"130013","ACMSD"
